lon,lat,source,country,substance,area_ha
-53.2823,-16.9839,ANM,BR,BASALTO,19.98
-53.1211,-27.8987,ANM,BR,BASALTO,2.84
-49.7448,-17.7676,ANM,BR,BASALTO,3.5
-38.7703,-4.4635,ANM,BR,GABRO,42
-51.8364,-28.6025,ANM,BR,BASALTO,18.68
-53.5867,-25.1487,ANM,BR,BASALTO,8.35
-49.3144,-18.3757,ANM,BR,BASALTO,44
-54.7717,-22.1107,ANM,BR,BASALTO,50
-54.6707,-20.3926,ANM,BR,BASALTO,30.04
-51.1132,-19.8216,ANM,BR,BASALTO,30
-43.9644,-6.587,ANM,BR,BASALTO,48.95
-51.9347,-23.4769,ANM,BR,BASALTO P/ BRITA,48.77
-51.0925,-23.253,ANM,BR,BASALTO,29
-52.3678,-27.8469,ANM,BR,BASALTO,3.42
-51.4264,-28.7506,ANM,BR,BASALTO,1.08
-51.8802,-28.2384,ANM,BR,BASALTO,11
-51.5467,-28.7895,ANM,BR,BASALTO,1.56
-41.9995,-6.1884,ANM,BR,DIABÁSIO,4
-50.5434,-26.6822,ANM,BR,BASALTO,10
-36.2624,-6.8794,ANM,BR,BASALTO,186.13
-50.8872,-29.7181,ANM,BR,BASALTO,1
-48.3327,-18.8771,ANM,BR,BASALTO,45.42
-52.0903,-27.0507,ANM,BR,BASALTO,2
-50.5519,-27.2695,ANM,BR,BASALTO,29.21
-51.833,-23.5697,ANM,BR,BASALTO,50
-52.0093,-26.8875,ANM,BR,BASALTO,9.47
-50.9933,-28.6832,ANM,BR,BASALTO,0.92
-50.9,-20.3003,ANM,BR,BASALTO,29.84
-42.6453,-5.5252,ANM,BR,DIABÁSIO P/ BRITA,10.11
-51.0099,-29.2396,ANM,BR,BASALTO,4.22
-53.9296,-29.6254,ANM,BR,BASALTO,8.33
-53.4919,-29.3937,ANM,BR,BASALTO,0.66
-51.3393,-27.0982,ANM,BR,BASALTO,3.05
-51.6904,-28.7654,ANM,BR,BASALTO,1.92
-50.9574,-26.1828,ANM,BR,BASALTO,21.06
-51.1061,-26.9898,ANM,BR,BASALTO,10
-52.855,-26.6349,ANM,BR,BASALTO,0.6
-51.1156,-18.556,ANM,BR,BASALTO,50
-51.8353,-28.5668,ANM,BR,BASALTO,1.98
-53.2877,-26.3377,ANM,BR,BASALTO,3.47
